"Time [ms]","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='66'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='66'"
144,-9.30621800333403E-005,-0.000327117364441109,-0.000181950966640002,-0.000639897736684667,-0.00037681957377057,-0.00132169000432459
148,-0.00010663875824536,-0.000378481986544477,-0.000210511146712978,-0.000740903967981027,-0.00043894819341235,-0.00152915685523749
152,-0.00012478565079092,-0.00044076236727697,-0.000245842048180555,-0.0008625869426334,-0.000515581791434098,-0.00179647006532844
156,-0.000147524743100586,-0.000515792955416192,-0.000289755565225008,-0.00101314454853453,-0.000609450533861701,-0.00212176662047576
160,-0.000175152569355849,-0.00060951946066212,-0.000343620248666428,-0.00119836747433481,-0.000726124446499073,-0.00251564974077896
164,-0.000207653980264513,-0.000726005928804774,-0.000411012965385555,-0.00142935256064886,-0.000873023221084936,-0.0030156635356979
168,-0.000248544381197406,-0.000871773854572594,-0.000496585069435095,-0.00171822401632093,-0.00106279002180887,-0.00364458824970234
172,-0.000302565255176717,-0.001057409300913,-0.00060757563208231,-0.00208556210934894,-0.00131204195454352,-0.00445766980003059
176,-0.000375103995072308,-0.0012960188853189,-0.000751092450801516,-0.00256086510578056,-0.00163289215620547,-0.0055089555629429
180,-0.000472488680365044,-0.00160412386752365,-0.000940491910023993,-0.00317411495940764,-0.00206151754603332,-0.00688031714622495
184,-0.000600628112958219,-0.0020093972221373,-0.00119297119361218,-0.00398232354433372,-0.00264358362291957,-0.00869052554399119
188,-0.000771497668200369,-0.00254711840673154,-0.00153613428466631,-0.00505778008651889,-0.00343591056767155,-0.0110930351871489
192,-0.00100581564953378,-0.00326617566180691,-0.00200655401442583,-0.00649206128967848,-0.00452469621373092,-0.0142880962740044
196,-0.00133125384034631,-0.00423136767265301,-0.0026577695568979,-0.00841286126911774,-0.00599062382864035,-0.0184161247925139
200,-0.00178210672605102,-0.00551916782648638,-0.00355426413842067,-0.0109365576474775,-0.00783264860511102,-0.023445760420356
204,-0.00239276932916545,-0.0071802171302384,-0.00473144349993681,-0.0140831150145863,-0.00992417992636205,-0.0290711183303921
208,-0.00314448410340692,-0.00913470690992826,-0.00607570070922086,-0.0176384405538257,-0.0120845281609199,-0.0348289959362308
212,-0.00386183176603268,-0.0110529189774427,-0.00740387890266058,-0.0210841392864348,-0.0140570436346406,-0.0401588489799472
216,-0.004461020215588,-0.0125374822885381,-0.00845547319653363,-0.0238368523565198,-0.0157309726901967,-0.0445241507852295
220,-0.00477392398634044,-0.013382137070192,-0.00909744219870526,-0.0254665247720684,-0.0167958759071342,-0.0472702546998109
224,-0.00483079649563024,-0.0135439588172901,-0.00920177058050026,-0.0257964896581297,-0.0169853387079915,-0.0478969195032531
228,-0.00463384707834393,-0.0130242362238563,-0.0088266847026404,-0.0248115600802895,-0.0163074397646846,-0.0462546374769128
232,-0.00417711969575911,-0.0118345129491997,-0.00795904694235147,-0.0226108917624382,-0.0149048538311275,-0.0427134157839676
236,-0.00348935783467169,-0.0100814331838689,-0.0067215729469532,-0.019459327873252,-0.0130536966279006,-0.0378392298612337
240,-0.00271203378269658,-0.00809167665313486,-0.00533924780599513,-0.0158817483530212,-0.0109394912663881,-0.0322643541916973
244,-0.0020301255721337,-0.00627038448510866,-0.00406110004498512,-0.0124696956621886,-0.00879431229532193,-0.0265152434152614
248,-0.00151077941060964,-0.00480574677291796,-0.00303264164423576,-0.00961492119026198,-0.00681402240655755,-0.0211204691537039
252,-0.0011366187222487,-0.00369248939366149,-0.00227719782132301,-0.0074068533290897,-0.0051632296398106,-0.0165070084083246
